"
date",gwl,rain,rain_lag_7,rain_lag_30,cum_rain_30,gwl_lag_1,gwl_trend_30,month_sin,month_cos
2023-03-17,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-18,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-19,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-20,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-21,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-22,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-23,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-24,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,5.921189464667501e-17,1.0,6.123233995736766e-17
2023-03-25,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-26,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-27,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-28,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-29,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-30,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-03-31,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,1.0,6.123233995736766e-17
2023-04-01,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,0.8660254037844387,-0.4999999999999998
2023-04-02,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,0.8660254037844387,-0.4999999999999998
2023-04-03,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,0.8660254037844387,-0.4999999999999998
2023-04-04,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,0.8660254037844387,-0.4999999999999998
2023-04-05,-15.88000011444092,0,0.0,0.0,0.0,-15.88000011444092,0.0,0.8660254037844387,-0.4999999999999998
