"
date",gwl,rain,rain_lag_7,rain_lag_30,cum_rain_30,gwl_lag_1,gwl_trend_30,month_sin,month_cos
2023-03-17,-70.97000122070312,5.5,2.0,0.0,48.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-18,-70.97000122070312,36.0,0.0,0.0,84.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-19,-70.97000122070312,1.0,0.0,0.0,85.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-20,-70.97000122070312,2.0,0.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-21,-70.97000122070312,0.0,0.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-22,-70.97000122070312,0.0,0.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-23,-70.97000122070312,0.0,0.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-24,-70.97000122070312,0.0,5.5,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-25,-70.97000122070312,0.0,36.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-26,-70.97000122070312,0.0,1.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-27,-70.97000122070312,0.0,2.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-28,-70.97000122070312,0.0,0.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-29,-70.97000122070312,0.0,0.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-30,-70.97000122070312,0.0,0.0,0.0,87.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-03-31,-70.97000122070312,22.0,0.0,0.0,109.5,-70.97000122070312,0.0,1.0,6.123233995736766e-17
2023-04-01,-70.97000122070312,12.0,0.0,0.0,121.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-02,-70.97000122070312,0.0,0.0,0.0,121.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-03,-70.97000122070312,0.0,0.0,1.0,120.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-04,-70.97000122070312,13.5,0.0,1.0,133.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-05,-70.97000122070312,0.0,0.0,0.0,133.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-06,-70.97000122070312,0.0,0.0,0.0,133.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-07,-70.97000122070312,0.0,22.0,10.0,123.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-08,-70.97000122070312,0.0,12.0,29.0,94.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-09,-70.97000122070312,0.0,0.0,2.0,92.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-10,-70.97000122070312,0.0,0.0,0.0,92.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-11,-70.97000122070312,0.0,13.5,0.0,92.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-12,-70.97000122070312,0.0,0.0,0.0,92.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-13,-70.97000122070312,0.0,0.0,0.0,92.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-14,-70.97000122070312,0.0,0.0,0.0,92.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-15,-70.97000122070312,0.0,0.0,0.0,92.0,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-16,-70.97000122070312,0.0,0.0,5.5,86.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-17,-70.97000122070312,0.0,0.0,36.0,50.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-18,-70.97000122070312,0.0,0.0,1.0,49.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-19,-70.97000122070312,0.0,0.0,2.0,47.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-20,-70.97000122070312,0.0,0.0,0.0,47.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-21,-70.97000122070312,48.0,0.0,0.0,95.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-22,-70.97000122070312,48.0,0.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-23,-70.97000122070312,0.0,0.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-24,-70.97000122070312,0.0,0.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-25,-70.97000122070312,0.0,0.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-26,-70.97000122070312,0.0,0.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-27,-70.97000122070312,0.0,0.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-28,-70.97000122070312,0.0,48.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-29,-70.97000122070312,0.0,48.0,0.0,143.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-04-30,-70.97000122070312,23.0,0.0,22.0,144.5,-70.97000122070312,0.0,0.8660254037844387,-0.4999999999999998
2023-05-01,-70.97000122070312,49.0,0.0,12.0,181.5,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-02,-70.97000122070312,0.0,0.0,0.0,181.5,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-03,-70.97000122070312,0.0,0.0,0.0,181.5,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-04,-70.97000122070312,0.0,0.0,13.5,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-05,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-06,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-07,-70.97000122070312,0.0,23.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-08,-70.97000122070312,0.0,49.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-09,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-10,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-11,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-12,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-13,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-14,-70.97000122070312,0.0,0.0,0.0,168.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-15,-70.97000122070312,9.0,0.0,0.0,177.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-16,-70.97000122070312,0.0,0.0,0.0,177.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-17,-70.97000122070312,0.0,0.0,0.0,177.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-18,-70.97000122070312,0.0,0.0,0.0,177.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-19,-70.97000122070312,0.0,0.0,0.0,177.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-20,-70.97000122070312,0.0,0.0,0.0,177.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-21,-70.97000122070312,0.0,0.0,48.0,129.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-22,-70.97000122070312,0.0,9.0,48.0,81.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-23,-70.97000122070312,0.0,0.0,0.0,81.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-24,-70.97000122070312,27.0,0.0,0.0,108.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-25,-70.97000122070312,71.5,0.0,0.0,179.5,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-26,-70.97000122070312,57.5,0.0,0.0,237.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-27,-70.97000122070312,0.0,0.0,0.0,237.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-28,-70.97000122070312,30.0,0.0,0.0,267.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-29,-70.97000122070312,0.0,0.0,0.0,267.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-30,-70.97000122070312,0.0,0.0,23.0,244.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-05-31,-70.97000122070312,0.0,27.0,49.0,195.0,-70.97000122070312,0.0,0.49999999999999994,-0.8660254037844387
2023-06-01,-70.97000122070312,0.0,71.5,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-02,-70.97000122070312,0.0,57.5,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-03,-70.97000122070312,0.0,0.0,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-04,-70.97000122070312,0.0,30.0,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-05,-70.97000122070312,0.0,0.0,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-06,-70.97000122070312,0.0,0.0,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-07,-70.97000122070312,0.0,0.0,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-08,-70.97000122070312,0.0,0.0,0.0,195.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-09,-70.97000122070312,3.0,0.0,0.0,198.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-10,-70.97000122070312,0.0,0.0,0.0,198.0,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-11,-70.97000122070312,0.5,0.0,0.0,198.5,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-12,-70.97000122070312,0.0,0.0,0.0,198.5,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-13,-70.97000122070312,0.0,0.0,0.0,198.5,-70.97000122070312,0.0,1.2246467991473532e-16,-1.0
2023-06-14,-71.02750205993652,0.0,0.0,9.0,189.5,-70.97000122070312,-0.0019166946411132812,1.2246467991473532e-16,-1.0
2023-06-15,-70.99694093316793,0.0,0.0,0.0,189.5,-71.02750205993652,-0.0008979904154936473,1.2246467991473532e-16,-1.0
2023-06-16,-70.98665811121464,0.0,3.0,0.0,189.5,-70.99694093316793,-0.0005552296837170919,1.2246467991473532e-16,-1.0
2023-06-17,-70.98368944227695,1.0,0.0,0.0,190.5,-70.98665811121464,-0.00045627405246098836,1.2246467991473532e-16,-1.0
2023-06-18,-70.98072077333927,14.5,0.5,0.0,205.0,-70.98368944227695,-0.00035731842120488485,1.2246467991473532e-16,-1.0
2023-06-19,-70.97775210440159,38.5,0.0,0.0,243.5,-70.98072077333927,-0.00025836278994878135,1.2246467991473532e-16,-1.0
2023-06-20,-70.9747834354639,53.5,0.0,0.0,297.0,-70.97775210440159,-0.00015940715869267781,1.2246467991473532e-16,-1.0
2023-06-21,-70.97181476652622,53.0,0.0,0.0,350.0,-70.9747834354639,-6.04515274365743e-05,1.2246467991473532e-16,-1.0
2023-06-22,-70.96884609758854,0.0,0.0,0.0,350.0,-70.97181476652622,3.8504103819529216e-05,1.2246467991473532e-16,-1.0
2023-06-23,-70.96587742865086,0.0,0.0,27.0,323.0,-70.96884609758854,0.00013745973507563273,1.2246467991473532e-16,-1.0
2023-06-24,-70.96290875971317,0.0,1.0,71.5,251.5,-70.96587742865086,0.00023641536633173626,1.2246467991473532e-16,-1.0
2023-06-25,-70.95994009077549,0.0,14.5,57.5,194.0,-70.96290875971317,0.00033537099758783974,1.2246467991473532e-16,-1.0
2023-06-26,-70.9569714218378,17.5,38.5,0.0,211.5,-70.95994009077549,0.0004343266288439433,1.2246467991473532e-16,-1.0
2023-06-27,-70.95400275290012,49.0,53.5,30.0,230.5,-70.9569714218378,0.0005332822601000468,1.2246467991473532e-16,-1.0
2023-06-28,-70.95103408396244,47.0,53.0,0.0,277.5,-70.95400275290012,0.0006322378913561504,1.2246467991473532e-16,-1.0
2023-06-29,-70.94806541502476,21.0,0.0,0.0,298.5,-70.95103408396244,0.0007311935226122538,1.2246467991473532e-16,-1.0
2023-06-30,-70.94509674608707,45.0,0.0,0.0,343.5,-70.94806541502476,0.0008301491538683574,1.2246467991473532e-16,-1.0
2023-07-01,-70.94212807714939,6.0,0.0,0.0,349.5,-70.94509674608707,0.0009291047851244608,-0.4999999999999997,-0.8660254037844388
2023-07-02,-70.93915940821171,23.5,0.0,0.0,373.0,-70.94212807714939,0.0010280604163805643,-0.4999999999999997,-0.8660254037844388
2023-07-03,-70.93619073927402,4.0,17.5,0.0,377.0,-70.93915940821171,0.0011270160476366678,-0.4999999999999997,-0.8660254037844388
2023-07-04,-70.93322207033634,0.0,49.0,0.0,377.0,-70.93619073927402,0.0012259716788927714,-0.4999999999999997,-0.8660254037844388
2023-07-05,-70.93025340139866,0.0,47.0,0.0,377.0,-70.93322207033634,0.001324927310148875,-0.4999999999999997,-0.8660254037844388
2023-07-06,-70.92728473246098,5.5,21.0,0.0,382.5,-70.93025340139866,0.0014238829414049785,-0.4999999999999997,-0.8660254037844388
2023-07-07,-70.92431606352329,14.0,45.0,0.0,396.5,-70.92728473246098,0.0015228385726610818,-0.4999999999999997,-0.8660254037844388
2023-07-08,-70.92134739458561,35.0,6.0,0.0,431.5,-70.92431606352329,0.0016217942039171854,-0.4999999999999997,-0.8660254037844388
2023-07-09,-70.91837872564793,14.5,23.5,3.0,443.0,-70.92134739458561,0.001720749835173289,-0.4999999999999997,-0.8660254037844388
2023-07-10,-70.91541005671024,308.0,4.0,0.0,751.0,-70.91837872564793,0.0018197054664293925,-0.4999999999999997,-0.8660254037844388
2023-07-11,-70.91244138777256,227.0,0.0,0.5,977.5,-70.91541005671024,0.001918661097685496,-0.4999999999999997,-0.8660254037844388
2023-07-12,-70.90947271883488,1.0,0.0,0.0,978.5,-70.91244138777256,0.0020176167289415996,-0.4999999999999997,-0.8660254037844388
2023-07-13,-70.9065040498972,0.5,5.5,0.0,979.0,-70.90947271883488,0.002116572360197703,-0.4999999999999997,-0.8660254037844388
2023-07-14,-70.90353538095951,0.0,14.0,0.0,979.0,-70.9065040498972,0.004132222632567088,-0.4999999999999997,-0.8660254037844388
2023-07-15,-70.90056671202183,0.0,35.0,0.0,979.0,-70.90353538095951,0.0032124740382035574,-0.4999999999999997,-0.8660254037844388
2023-07-16,-70.89759804308414,0.0,14.5,0.0,979.0,-70.90056671202183,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-17,-70.89462937414646,20.0,308.0,1.0,998.0,-70.89759804308414,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-18,-70.89166070520878,0.0,227.0,14.5,983.5,-70.89462937414646,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-19,-70.8886920362711,0.0,1.0,38.5,945.0,-70.89166070520878,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-20,-70.88572336733341,0.0,0.5,53.5,891.5,-70.8886920362711,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-21,-70.88275469839573,0.0,0.0,53.0,838.5,-70.88572336733341,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-22,-70.87978602945805,10.0,0.0,0.0,848.5,-70.88275469839573,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-23,-70.87681736052036,6.0,0.0,0.0,854.5,-70.87978602945805,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-24,-70.87384869158268,13.0,20.0,0.0,867.5,-70.87681736052036,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-25,-70.870880022645,8.0,0.0,0.0,875.5,-70.87384869158268,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-26,-70.86791135370731,0.0,0.0,17.5,858.0,-70.870880022645,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-27,-70.86494268476963,9.0,0.0,49.0,818.0,-70.86791135370731,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-28,-70.86197401583195,22.0,0.0,47.0,793.0,-70.86494268476963,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-29,-70.85900534689426,104.5,10.0,21.0,876.5,-70.86197401583195,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-30,-70.85603667795658,89.5,6.0,45.0,921.0,-70.85900534689426,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-07-31,-70.8530680090189,18.0,13.0,6.0,933.0,-70.85603667795658,0.0029686689376831055,-0.4999999999999997,-0.8660254037844388
2023-08-01,-70.85009934008121,1.0,8.0,23.5,910.5,-70.8530680090189,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-02,-70.84713067114353,0.0,0.0,4.0,906.5,-70.85009934008121,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-03,-70.84416200220585,0.0,9.0,0.0,906.5,-70.84713067114353,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-04,-70.84119333326817,0.0,22.0,0.0,906.5,-70.84416200220585,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-05,-70.83822466433048,0.0,104.5,5.5,901.0,-70.84119333326817,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-06,-70.8352559953928,0.0,89.5,14.0,887.0,-70.83822466433048,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-07,-70.83228732645512,0.0,18.0,35.0,852.0,-70.8352559953928,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-08,-70.82931865751743,0.0,1.0,14.5,837.5,-70.83228732645512,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-09,-70.82634998857975,0.0,0.0,308.0,529.5,-70.82931865751743,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-10,-70.82338131964207,0.0,0.0,227.0,302.5,-70.82634998857975,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-11,-70.82041265070438,0.0,0.0,1.0,301.5,-70.82338131964207,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-12,-70.8174439817667,0.0,0.0,0.5,301.0,-70.82041265070438,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-13,-70.81447531282902,0.0,0.0,0.0,301.0,-70.8174439817667,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-14,-70.81150664389133,0.0,0.0,0.0,301.0,-70.81447531282902,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-15,-70.80853797495365,0.0,0.0,0.0,301.0,-70.81150664389133,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-16,-70.80556930601597,2.0,0.0,20.0,283.0,-70.80853797495365,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-17,-70.80260063707829,2.0,0.0,0.0,285.0,-70.80556930601597,0.0029686689376831055,-0.8660254037844384,-0.5000000000000004
2023-08-18,-70.83268790692091,0.0,0.0,0.0,285.0,-70.80260063707829,0.0018668043116728465,-0.8660254037844384,-0.5000000000000004
2023-08-19,-70.89500045776367,2.5,0.0,0.0,287.5,-70.83268790692091,-0.0003092363476753235,-0.8660254037844384,-0.5000000000000004
2023-08-20,-70.86750030517578,8.0,0.0,0.0,295.5,-70.89500045776367,0.0005084797739982605,-0.8660254037844384,-0.5000000000000004
2023-08-21,-70.85999870300293,7.0,0.0,10.0,292.5,-70.86750030517578,0.0006595775485038757,-0.8660254037844384,-0.5000000000000004
2023-08-22,-70.83749961853027,0.0,0.0,6.0,286.5,-70.85999870300293,0.0013105913996696473,-0.8660254037844384,-0.5000000000000004
2023-08-23,-70.82749938964844,1.5,2.0,13.0,275.0,-70.83749961853027,0.0015449767311414083,-0.8660254037844384,-0.5000000000000004
2023-08-24,-70.87249946594238,0.0,2.0,8.0,267.0,-70.82749938964844,-5.3981443246205646e-05,-0.8660254037844384,-0.5000000000000004
2023-08-25,-70.85699576078406,0.0,0.0,0.0,267.0,-70.87249946594238,0.00036385309744180937,-0.8660254037844384,-0.5000000000000004
